"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","568","Logs user out","tests","2026-07-18","passed","2026-07-18","TestUserPositive","test_user","",""
"","575","Update user","tests","2026-07-18","passed","2026-07-18","TestUserPositive","test_user","",""
"","0","Get purchase order by ID","tests","2026-07-18","failed","2026-07-18","TestStore","test_store","",""
"","0","Delete purchase order by ID","tests","2026-07-18","failed","2026-07-18","TestStore","test_store","",""
"","559","Delete user","tests","2026-07-18","passed","2026-07-18","TestUserPositive","test_user","",""
"","269","Create user","tests","2026-07-18","passed","2026-07-18","TestUserPositive","test_user","",""
"","285","Logs user in with incorrect data","tests","2026-07-18","skipped","2026-07-18","TestUserNegative","test_user","",""
"","281","Add a new pet to the store","tests","2026-07-18","passed","2026-07-18","TestPet","test_pet","",""
"","287","Returns pet inventories by status","tests","2026-07-18","passed","2026-07-18","TestStore","test_store","",""
"","289","Get pet by ID","tests","2026-07-18","passed","2026-07-18","TestPet","test_pet","",""
"","289","Get pet by nonexistent ID","tests","2026-07-18","passed","2026-07-18","TestPetNegative","test_pet","",""
"","290","Get purchase order by invalid ID","tests","2026-07-18","passed","2026-07-18","TestStoreNegative","test_store","",""
"","282","Create user with incorrect data","tests","2026-07-18","passed","2026-07-18","TestUserNegative","test_user","",""
"","274","Logs user in","tests","2026-07-18","passed","2026-07-18","TestUserPositive","test_user","",""
"","278","Update an existing pet","tests","2026-07-18","passed","2026-07-18","TestPet","test_pet","",""
"","285","Deletes a nonexistent pet","tests","2026-07-18","passed","2026-07-18","TestPetNegative","test_pet","",""
"","566","Deletes a pet","tests","2026-07-18","passed","2026-07-18","TestPet","test_pet","",""
"","286","Get nonexistent user by username","tests","2026-07-18","passed","2026-07-18","TestUserNegative","test_user","",""
"","282","Place an order for a pet","tests","2026-07-18","failed","2026-07-18","TestStore","test_store","",""
"","294","Place an invalid order for a pet","tests","2026-07-18","passed","2026-07-18","TestStoreNegative","test_store","",""
"","284","Get user by username","tests","2026-07-18","passed","2026-07-18","TestUserPositive","test_user","",""
"","295","Add a new pet with incorrect data","tests","2026-07-18","passed","2026-07-18","TestPetNegative","test_pet","",""
